;country;population_x;land area;density;world economics social;life expectancy;population in employment;inequality index;air quality;water access;carbon emissions;statistical capacity index;world economics;informal economy;statistical resources;governance levels;income per capita;asset wealth per capita;mean years of schooling;Unnamed: 0;iso_code;year;population;gdp;cement_co2;cement_co2_per_capita;co2;co2_growth_abs;co2_growth_prct;co2_including_luc;co2_including_luc_growth_abs;co2_including_luc_growth_prct;co2_including_luc_per_capita;co2_including_luc_per_gdp;co2_including_luc_per_unit_energy;co2_per_capita;co2_per_gdp;co2_per_unit_energy;coal_co2;coal_co2_per_capita;cumulative_cement_co2;cumulative_co2;cumulative_co2_including_luc;cumulative_coal_co2;cumulative_flaring_co2;cumulative_gas_co2;cumulative_luc_co2;cumulative_oil_co2;energy_per_capita;energy_per_gdp;flaring_co2;flaring_co2_per_capita;gas_co2;gas_co2_per_capita;ghg_excluding_lucf_per_capita;ghg_per_capita;land_use_change_co2;land_use_change_co2_per_capita;methane;methane_per_capita;nitrous_oxide;nitrous_oxide_per_capita;oil_co2;oil_co2_per_capita;primary_energy_consumption;share_global_cement_co2;share_global_co2;share_global_co2_including_luc;share_global_coal_co2;share_global_cumulative_cement_co2;share_global_cumulative_co2;share_global_cumulative_co2_including_luc;share_global_cumulative_coal_co2;share_global_cumulative_flaring_co2;share_global_cumulative_gas_co2;share_global_cumulative_luc_co2;share_global_cumulative_oil_co2;share_global_flaring_co2;share_global_gas_co2;share_global_luc_co2;share_global_oil_co2;share_of_temperature_change_from_ghg;temperature_change_from_ch4;temperature_change_from_co2;temperature_change_from_ghg;temperature_change_from_n2o;total_ghg;total_ghg_excluding_lucf
0;Afghanistan;43844111;652860;67;45.5;66.534;35.9;59;63;30;11.87;57.1;29.9;73.3;57.1;4.3;1.7;0.1;3;52;AFG;2022;40578846;53303472128;0.016;0;10.558;0.286;2.784;25.863;3.827;17.365;0.637;0.485;1.084519033;0.26;0.198;0.230389568;3.531;0.087;2.537;225.821;572.144;59.318;5.956;20.236;859.59;137.774;24751.67803;1.767313535;0;0;0.148;0.004;0.452;0.973;15.305;0.377;18.826;0.464;4.368;0.108;6.862;0.169;2662.128098;0.001;0.028;0.063;0.023;0.005;0.013;0.022;0.007;0.031;0.008;0.105;0.022;0;0.002;0.432;0.058;0.084;0.001;0.001;0.001;0;39.485;18.355
1;Albania;2771508;27400;101;83.1;79.248;51.6;79.4;16;71;4.62;85.1;71.5;28.1;85.1;50.3;14;4.9;11;160;ALB;2022;2827615;36171005952;1.312;0.464;5.173;0.039;0.765;4.856;-0.114;-2.287;1.718;0.134;1.084519033;1.83;0.143;0.230389568;0.836;0.296;26.015;299.029;538.021;68.536;0.152;16.741;398.628;187.586;24751.67803;1.767313535;0.015;0.005;0.11;0.039;2.243;2.87;-0.317;-0.112;2.619;0.926;0.823;0.291;2.9;1.026;2662.128098;0.082;0.014;0.012;0.006;0.056;0.017;0.021;0.008;0.001;0.006;0.049;0.03;0.004;0.001;-0.009;0.024;0.024;0;0;0;0;8.114;6.344
2;Algeria;47435312;2381740;20;73.9;77.852;35.1;77.2;23;71;176.28;62.7;72.3;29.2;62.7;29.4;10.2;1.4;8;214;DZA;2022;45477391;5.9582E+11;9.555;0.21;184.558;4.962;2.763;186.724;5.035;2.771;4.106;0.313;0.254;4.058;0.31;0.251;0.775;0.017;244.077;5085.557;6006.71;118.064;751.692;2257.904;1219.269;1713.82;16350.52;1.232;16.194;0.356;100.626;2.213;6.082;6.384;2.166;0.048;96.622;2.125;8.165;0.18;57.407;1.262;734.191;0.597;0.495;0.457;0.005;0.522;0.287;0.232;0.014;3.878;0.861;0.149;0.278;4.018;1.275;0.061;0.482;0.402;0.004;0.003;0.007;0;290.326;276.58
3;Andorra;82904;470;176;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;248;AND;2022;79722;5.28502E+11;0;0;0.42;0.009;2.24;0.412;0.009;2.285;5.162;0.937101354;1.084519033;5.263;0.389399806;0.230389568;0;0;0;15.812;16.262;0;0;0.03;0.926;15.782;24751.67803;1.767313535;0;0;0.008;0.099;5.768;6.648;-0.008;-0.101;0.081;1.02;0.036;0.456;0.412;5.164;2662.128098;0;0.001;0.001;0;0;0.001;0.001;0;0;0;0;0.003;0;0;0;0.003;0.001;0;0;0;0;0.53;0.46
4;Angola;39040039;1246700;31;30.6;62.84;69.9;20.4;27;98;21.36;62.3;45.8;41;62.3;29.6;7.9;0.4;5;302;AGO;2022;35635028;1.58346E+11;1.201;0.034;20.25;1.055;5.494;68.587;0.52;0.764;1.925;0.433;1.084519033;0.568;0.128;0.230389568;305.6257623;1.48792303;27.125;694.56;5291.953;17052.4864;272.004;47.89;7280.108;345.94;24751.67803;1.767313535;3.151;0.088;2.314;0.065;1.549;4.915;48.336;1.356;51.971;1.458;17.466;0.49;13.584;0.381;2662.128098;0.075;0.054;0.168;3.077753354;0.058;0.039;0.205;3.313702;1.403;0.018;0.892;0.056;0.782;0.029;1.365;0.114;0.345;0.003;0.003;0.006;0;175.148;55.201
5;Antigua and Barbuda;94209;440;214;0;77.73;0;0;0;0;0;0;0;0;0;0;0;0;0;356;ATG;2022;92851;5.28502E+11;0;0;0.618;-0.019;-3.046;0.588;-0.017;-2.87;6.332;0.937101354;1.084519033;6.657;0.389399806;0.230389568;305.6257623;1.48792303;0;25.616;16.263;17052.4864;0;4545.108843;-11.812;25.593;24751.67803;1.767313535;0;0;177.0031629;1.832210367;7.335;7.446;-0.03;-0.325;0.068;0.735;0.014;0.146;0.618;6.657;2662.128098;0;0.002;0.001;3.077753354;0;0.001;0.001;3.313702;0;3.731023326;-0.001;0.004;0;3.860033117;-0.001;0.005;0.001;0;0;0;0;0.691;0.681
6;Argentina;45851378;2736690;17;80.9;77.466;53.8;56.7;12;57;186.46;79.5;69;29.6;79.5;54.3;22.9;1.6;11;410;ARG;2022;45407904;8.54914E+11;5.063;0.111;204.081;12.973;6.788;316.751;10.581;3.456;6.976;0.371;0.308;4.494;0.239;0.198;4.78;0.105;206.627;8816.843;22471.404;538.244;168.977;3060.968;13726.906;4842.026;22618.625;1.204;2.195;0.048;92.908;2.046;5.476;9.544;112.67;2.481;129.569;2.853;48.749;1.074;99.135;2.183;1029.381;0.316;0.547;0.776;0.031;0.442;0.497;0.869;0.066;0.872;1.168;1.683;0.786;0.545;1.177;3.182;0.832;1.109;0.006;0.011;0.018;0.001;433.366;248.641
7;Armenia;2952365;28470;104;78.5;75.826;41.1;89.2;34;82;6.82;85;78.5;41.4;85;55.2;17.9;4.9;11;464;ARM;2022;2880883;39721734144;0.492;0.171;7.165;-0.253;-3.405;7.229;-0.289;-3.849;2.509;0.182;1.084519033;2.487;0.18;0.230389568;0.04;0.014;15.698;391.221;496.564;44.004;2.157;168.367;111.395;160.995;24751.67803;1.767313535;0;0;5.067;1.759;2.782;3.518;0.064;0.022;1.428;0.496;1.147;0.398;1.565;0.543;2662.128098;0.031;0.019;0.018;0;0.034;0.022;0.019;0.005;0.011;0.064;0.014;0.026;0;0.064;0.002;0.013;0.019;0;0;0;0;10.136;8.015
8;Australia;26974026;7682300;4;95.2;84.184;62.4;78.3;9;100;391.21;90.9;94.8;11.9;90.9;85.9;41.4;66.9;13;626;AUS;2022;26200987;1.34425E+12;2.818;0.108;384.362;-4.657;-1.197;454.15;-9.823;-2.117;17.333;0.338;0.273;14.67;0.286;0.231;146.069;5.575;197.094;19281.328;33388.113;10279.343;315.413;2230.277;14107.578;6140.14;63452.266;1.236;17.14;0.654;80.412;3.069;16.978;23.127;69.788;2.664;126.538;4.83;62.494;2.385;133.807;5.107;1661.016;0.176;1.031;1.112;0.962;0.421;1.087;1.291;1.253;1.627;0.851;1.729;0.997;4.253;1.019;1.971;1.124;1.483;0.007;0.014;0.024;0.003;605.939;444.834
9;Austria;9113574;82409;111;91;82.37;57;84.1;12;99;64.63;92.6;96;7.4;92.6;83.4;43.1;36.4;12;680;AUT;2022;9064679;3.98815E+11;1.832;0.202;61.489;-4.268;-6.491;59.598;-4.185;-6.562;6.575;0.149;0.157;6.783;0.154;0.162;11.666;1.287;141.618;5634.937;5813.735;2755.517;4.819;756.651;207.121;1938.437;42481.578;0.952;0.08;0.009;15.967;1.761;7.466;7.809;-1.891;-0.209;9.886;1.091;3.657;0.403;30.734;3.39;379.769;0.114;0.165;0.146;0.077;0.303;0.318;0.225;0.336;0.025;0.289;0.025;0.315;0.02;0.202;-0.053;0.258;0.183;0;0.002;0.003;0;70.782;67.678
