country;population;land area;density;world economics social;life expectancy;population in employment;inequality index;air quality;water access;carbon emissions;statistical capacity index;world economics;informal economy;statistical resources;governance levels;income per capita;asset wealth per capita;mean years of schooling
Afghanistan;43844111;652860;67;45.5;66.534;35.9;59;63;30;11.87;57.1;29.9;73.3;57.1;4.3;1.7;0.1;3
Albania;2771508;27400;101;83.1;79.248;51.6;79.4;16;71;4.62;85.1;71.5;28.1;85.1;50.3;14;4.9;11
Algeria;47435312;2381740;20;73.9;77.852;35.1;77.2;23;71;176.28;62.7;72.3;29.2;62.7;29.4;10.2;1.4;8
Andorra;82904;470;176;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Angola;39040039;1246700;31;30.6;62.84;69.9;20.4;27;98;21.36;62.3;45.8;41;62.3;29.6;7.9;0.4;5
Antigua and Barbuda;94209;440;214;0;77.73;0;0;0;0;0;0;0;0;0;0;0;0;0
Argentina;45851378;2736690;17;80.9;77.466;53.8;56.7;12;57;186.46;79.5;69;29.6;79.5;54.3;22.9;1.6;11
Armenia;2952365;28470;104;78.5;75.826;41.1;89.2;34;82;6.82;85;78.5;41.4;85;55.2;17.9;4.9;11
Australia;26974026;7682300;4;95.2;84.184;62.4;78.3;9;100;391.21;90.9;94.8;11.9;90.9;85.9;41.4;66.9;13
Austria;9113574;82409;111;91;82.37;57;84.1;12;99;64.63;92.6;96;7.4;92.6;83.4;43.1;36.4;12
Azerbaijan;10397713;82658;126;73.9;73.546;59.6;88.9;25;72;38.51;66.8;55;47.8;66.8;16.7;19.3;2.7;11
Bahamas;403033;10010;40;81.9;74.508;59.4;30.7;0;0;0;49.8;71.8;26.6;49.8;71.9;30.3;9.2;13
Bahrain;1643332;760;2162;84.8;77.982;69;25.1;52;99;39.02;51.6;66.2;16.1;51.6;31.9;47;14.2;11
Bangladesh;175686899;130170;1350;62;74.074;54;55.8;46;59;93.18;70.8;59.1;27.2;70.8;25.1;6.7;1.1;7
Barbados;282623;430;657;0;79.92;0;0;0;0;0;0;0;0;0;0;0;0;0
Belarus;8997603;202910;44;81.3;75.48;60.7;97.2;16;93;59.61;78.7;71.2;34.6;78.7;15.4;24;4.8;12
Belgium;11758603;30280;388;91.6;82.478;50.8;92.2;11;100;95.74;90.5;92.3;18.8;90.5;84.6;48;49.8;12
Belize;422924;22810;19;0;75.386;0;0;0;0;0;0;0;0;0;0;0;0;0
Benin;14814460;112760;131;38.7;63.368;69.8;45.4;32;65;7.77;68;69.7;51.1;68;43.4;2.8;0.2;4
Bhutan;796682;38117;21;60.7;73.25;57.5;62;26;73;1.54;63.1;56.1;23.7;63.1;60.3;14.4;0;5
Bolivia;12581843;1083300;12;64.2;72.798;69.5;59.2;26;87;13.56;72.5;39.4;50.5;72.5;36.4;9.9;1.5;10
Bosnia and Herzegovina;3140095;51000;62;79.8;75;35.6;74.6;26;87;13.56;69.4;65.5;32.1;69.4;42.4;16.4;4.9;11
Botswana;2562122;566730;5;58.8;70.14;45.5;17;13;92;6.49;63.3;74.2;28.5;63.3;60.8;16.8;1.6;10
