Country;Population;Land Area;Density
Afghanistan;43844111;652860;67
Albania;2771508;27400;101
Algeria;47435312;2381740;20
Andorra;82904;470;176
Angola;39040039;1246700;31
Antigua and Barbuda;94209;440;214
Argentina;45851378;2736690;17
Armenia;2952365;28470;104
Australia;26974026;7682300;4
Austria;9113574;82409;111
Azerbaijan;10397713;82658;126
Bahamas;403033;10010;40
Bahrain;1643332;760;2,162
Bangladesh;175686899;130170;1,350
Barbados;282623;430;657
Belarus;8997603;202910;44
Belgium;11758603;30280;388
Belize;422924;22810;19
Benin;14814460;112760;131
Bhutan;796682;38117;21
Bolivia;12581843;1083300;12
Bosnia and Herzegovina;3140095;51000;62
Botswana;2562122;566730;5
Brazil;212812405;8358140;25
Brunei;466330;5270;88
Bulgaria;6714560;108560;62
Burkina Faso;24074580;273600;88
Burundi;14390003;25680;560
Cabo Verde;527326;4030;131
Cambodia;17847982;176520;101
Cameroon;29879337;472710;63
Canada;40126723;9093510;4
Central African Republic;5513282;622980;9
Chad;21003705;1259200;17
Chile;19859921;743532;27
China;1416096094;9388211;151
Colombia;53425635;1109500;48
Comoros;882847;1861;474
Congo (Congo-Brazzaville);6484437;341500;19
Costa Rica;5152950;51060;101
Cote d'Ivoire;32711547;318000;103
Croatia;3848160;55960;69
Cuba;10937203;106440;103
Cyprus;1370754;9240;148
Czechia (Czech Republic);10609239;77240;137
Democratic Republic of the Congo;112832473;2267050;50
Denmark;6002507;42430;141
Djibouti;1184076;23180;51
Dominica;65871;750;88
Dominican Republic;11520487;48320;238
Ecuador;18289896;248360;74
Egypt;118365995;995450;119
El Salvador;6365503;20720;307
Equatorial Guinea;1938431;28050;69
Eritrea;3607003;101000;36
Estonia;1344232;42390;32
"Eswatini (fmr. """"Swaziland"""")";1256174;17200;73
Ethiopia;135472051;1000000;135
Fiji;933154;18270;51
Finland;5623329;303890;19
France;66650804;547557;122
Gabon;2593130;257670;10
Gambia;2822093;10120;279
Georgia;3806671;69490;55
Germany;84075075;348560;241
Ghana;35064272;227540;154
